run,final_median,rounds,coalition_events
1,51.219192683979934,22,22
2,42.776554405751284,27,27
3,54.94453568278067,29,28
4,51.22945779329756,22,22
5,47.98163051627094,24,24
6,55.29712951774447,22,22
7,46.08379419699413,30,30
8,48.64539008108432,26,26
9,50.94099812442243,24,23
10,38.94378759766203,42,42
11,47.15101739227273,28,28
12,36.981934943565925,32,32
13,34.319297144599126,28,27
14,52.90388856332265,17,16
15,47.202620602919644,39,38
16,37.02176051702762,62,62
17,46.15682083907739,46,46
18,53.01642517613362,47,47
19,42.1173214586265,50,50
20,52.27228691190636,1,1
21,55.976910445872,31,31
22,51.58069200367798,64,64
23,54.72230253418851,21,21
24,45.12021930142709,36,36
25,37.133291303841936,30,26
26,56.363764161281786,20,20
27,48.62362971358253,28,28
28,50.74182466569272,24,24
29,55.34801684582769,26,25
30,52.66108564556731,26,26
31,53.18346734357711,17,9
32,46.50073420343874,9,2
33,50.45618583106347,26,25
34,53.38020965866753,23,23
35,53.667335547733344,29,27
36,44.68401048768674,48,48
37,43.83720398534292,34,34
38,47.47625248766003,32,31
39,41.46798878058633,34,34
40,44.25836492512963,30,28
