run,final_median,rounds,coalition_events
1,41.443425043665975,28,27
2,46.02120847300875,35,35
3,54.31092952059206,23,22
4,47.16610672154149,35,29
5,50.036167159100565,27,27
6,51.58100988735568,2,2
7,47.71614180457578,24,24
8,42.406624436669446,22,22
9,46.65780606776514,31,31
10,56.75259973833427,13,13
11,49.52237109220781,42,42
12,46.39635608466552,28,26
13,39.796566764734,38,37
14,43.978684779943144,33,31
15,54.917947508203724,23,22
16,46.76114645608568,28,27
17,50.228168627666555,27,27
18,44.971575295394125,49,49
19,56.41529698873476,42,42
20,59.67625862227658,32,32
21,45.692317753164716,35,34
22,45.13443914418482,29,28
23,49.723892124222054,25,25
24,51.51005252918623,32,32
25,50.891559572073795,21,21
26,53.773605559077716,24,24
27,56.47026729876493,31,31
28,55.04574765620867,18,16
29,50.7860436438459,33,33
30,58.700323854870206,23,23
31,56.704953668908175,30,30
32,51.45606586981971,25,25
33,49.02654661155083,21,21
34,48.46088131809324,26,26
35,45.68893662216867,28,28
36,46.432112031120425,32,29
37,44.88272521749961,62,62
38,48.15486234259291,11,6
39,42.854669128067236,26,24
40,44.96118896029388,39,39
