run,final_median,rounds,coalition_events
1,51.304735534825625,31,31
2,40.620161714418145,38,38
3,44.31387219445987,32,32
4,41.36054802067469,35,35
5,43.6839635586829,24,24
6,42.44219703621469,26,26
7,50.38265532673831,46,46
8,40.47073452186783,61,57
9,54.671123354862665,34,34
10,48.599436726180706,25,25
11,51.832439796920674,10,10
12,41.67777859359011,35,35
13,54.49694163420741,29,25
14,52.51933381842699,27,27
15,44.595048308972714,31,30
16,49.342948724157814,43,43
17,41.56388938200564,37,37
18,50.849295854748384,43,43
19,41.59915780944424,30,28
20,49.213180778365924,29,29
21,44.27374340838583,37,37
22,55.32424305528639,25,25
23,49.3197881049261,32,32
24,54.80951743717615,19,19
25,55.16503085571119,24,24
26,49.7026502876269,31,31
27,50.166893326121674,27,27
28,52.33786687450756,23,22
29,45.539416090495806,8,6
30,33.57752433635081,42,41
31,54.03375424711309,28,27
32,48.09644815114484,26,26
33,51.887768403372604,33,33
34,50.96368737244467,28,27
35,53.33507083706538,29,28
36,40.02223143747647,30,30
37,33.37659478465613,38,31
38,48.907187107157974,23,23
39,43.65846735686137,25,25
40,45.439772133399686,29,29
